Department,PreKnowledge,Concepts,Interpret,ChooseMethod,StatSubmitTime,StatPercentSubmit,StatLearnPerform,StatCheatBehav,ResMidterm,ResAssignment,ResParticipate,ResFinalScore
การศึกษาปฐมวัย,42.96296296333333,50,38.88888889,40,151.0382884,100,85,0.836711435,12.25,3.928571429,4.090909091,45
การศึกษาปฐมวัย,38.148148146666664,50,44.44444444,20,153.3923715,100,80,0.691218231,13,5,5,52.5
การศึกษาปฐมวัย,37.22222222333333,41.66666667,50,20,122.2502895,100,68.75,0.999569484,15.25,3.571428571,5,52.5
การศึกษาปฐมวัย,47.22222222,58.33333333,33.33333333,50,128.2323011,100,78.75,0.830630492,18.875,4.285714286,5,70
การศึกษาปฐมวัย,28.88888889,50,16.66666667,20,148.9235022,100,66.25,0.6666154,15,4.285714286,4.545454545,63.74999999999999
ประถมศึกษา,44.28571428666667,42.85714286,50,40,141.0842006,100,93.21428571,0.839402703,14.25,3.928571429,5,57.49999999999999
ประถมศึกษา,37.916666666666664,50,43.75,20,150.2685324,88.88888889,90,0.866495778,16.625,5,5,58.75
ประถมศึกษา,27.142857143333334,21.42857143,50,10,129.1688097,100,95,0.997985457,12.75,5,5,46.25
ประถมศึกษา,45.95238095333334,42.85714286,75,20,161.8564704,100,80,0.605307341,16.5,3.928571429,5,62.5
ประถมศึกษา,46.84523809666666,64.28571429,56.25,20,130.1759079,100,78.33333333,0.555723312,18.25,4.642857143,5,71.25
ประถมศึกษา,49.04761904666666,57.14285714,50,40,88.56262722,100,74.58333333,0.737306264,17,5,5,63.74999999999999
ประถมศึกษา,58.92857143,64.28571429,62.5,50,129.6557163,100,85,0.538709776,19.25,5,5,75
ประถมศึกษา,53.03571428666667,42.85714286,56.25,60,108.7788113,100,80,0.584340488,16,5,5,60
ประถมศึกษา,38.21428571333333,57.14285714,37.5,20,124.5543218,100,92.5,0.983554,15.75,5,5,63.74999999999999
ประถมศึกษา,48.75,50,56.25,40,98.96194132,100,90,0.970826811,17.25,4.642857143,5,72.5
ประถมศึกษา,44.583333333333336,50,43.75,40,138.2741419,100,77.5,1,20.625,5,5,83.75
ประถมศึกษา,57.32142857,85.71428571,56.25,30,115.178135,100,90,0.984807425,15.875,5,5,61.25000000000001
ประถมศึกษา,41.07142857,35.71428571,37.5,50,145.028544,88.88888889,95,0.868963404,17.625,5,5,67.5
ประถมศึกษา,40.15873015666667,57.14285714,53.33333333,10,127.673802,100,95,0.936028087,16.75,4.285714286,5,63.74999999999999
ประถมศึกษา,55.71428571333333,57.14285714,50,60,155.1215154,88.88888889,69.44444444,0.461916274,18.75,3.928571429,5,75
ประถมศึกษา,53.51190476333333,64.28571429,56.25,40,175.660926,100,86.54761905,0.545348199,16,4.642857143,5,68.75
ประถมศึกษา,32.916666666666664,50,18.75,30,157.2356858,88.88888889,92.5,0.956155168,14.625,5,5,60
ประถมศึกษา,33.15476190333333,35.71428571,43.75,20,145.7499036,100,91.66666667,0.826854758,11.125,5,5,50
ประถมศึกษา,53.86904762,42.85714286,68.75,50,164.9033889,88.88888889,64.88095238,0.659387084,14.5,4.642857143,5,55.00000000000001
ประถมศึกษา,44.28571428666667,42.85714286,50,40,154.5454935,88.88888889,92.5,0.945856137,11.875,3.928571429,5,51.249999999999986
ประถมศึกษา,40.416666666666664,50,31.25,40,176.8638111,88.88888889,80,0.988550106,17.25,5,5,62.5
ประถมศึกษา,59.88095238,57.14285714,62.5,60,132.2036857,88.88888889,86.66666667,0.585784942,16,4.285714286,4.545454545,65
ประถมศึกษา,39.82142857,35.71428571,43.75,40,158.169601,100,80,0.745314342,17.75,4.642857143,5,71.25
ประถมศึกษา,33.57142857,35.71428571,25,40,132.2692262,100,72.14285714,0.690323833,15,4.642857143,5,60
ประถมศึกษา,57.916666666666664,50,43.75,80,143.3124372,100,87.5,0.977942095,15.875,5,5,58.75
ประถมศึกษา,57.14285714333334,71.42857143,50,50,95.04386868,100,90,1,18.625,5,5,72.5
ประถมศึกษา,44.28571428666667,42.85714286,50,40,115.2758497,88.88888889,48.80952381,0.847803758,15,5,4.545454545,60
