student_id,choose_method,concepts,interpretation,research_score,submit_time,percent_submit,gender,department,learning_performance,cheat_index
210,30,64.28571428571429,62.5,86,180.92526152779658,88.88888888888889,ญ,ไทยสังคม,90,0.9999999999999998
211,30,57.14285714285714,50,69,179.96595250000556,66.66666666666667,ญ,วิทยาศาสตร์,95,0.839762032
212,20,28.57142857142857,25,70,144.4797656,100,ช,สุขศึกษาและพลศึกษา,54.166666666666664,0.9947858265492455
213,40,42.857142857142854,37.5,79,171.92934013886583,77.77777777777777,ช,สุขศึกษาและพลศึกษา,77.5,0.8744783950110513
214,30,21.428571428571427,31.25,65,172.35450791666904,88.88888888888889,ญ,สุขศึกษาและพลศึกษา,67.08333333333333,0.48118309467566794
215,40,42.857142857142854,50,69,122.4857523611188,88.88888888888889,ช,สุขศึกษาและพลศึกษา,63.333333333333336,0.7722722308425369
216,30,21.428571428571427,50,70,127.48668423609601,100,ญ,สุขศึกษาและพลศึกษา,82.5,0.9779152660572034
217,30,28.57142857142857,56.25,58,182.72380236109097,88.88888888888889,ช,สุขศึกษาและพลศึกษา,48.63095238095238,0.9120080990642565
218,20,21.428571428571427,25,57,130.04867131943504,100,ช,สุขศึกษาและพลศึกษา,69.58333333333333,0.9999999999999998
219,30,28.57142857142857,50,61,180.4822547222177,55.55555555555556,ช,สุขศึกษาและพลศึกษา,100,0.6907808688796035
220,50,42.857142857142854,31.25,65,165.12402236110634,88.88888888888889,ช,สุขศึกษาและพลศึกษา,78.21428571428572,0.9285214677683358
221,50,14.285714285714285,18.75,43,144.11982972224553,66.66666666666667,ช,สุขศึกษาและพลศึกษา,75,0.7850325803228057
222,40,50,18.75,57,158.9533756944206,77.77777777777777,ญ,สุขศึกษาและพลศึกษา,75.55555555555556,0.9996899566171459
223,30,35.714285714285715,37.5,62,138.91574236111506,88.88888888888889,ช,สุขศึกษาและพลศึกษา,77.08333333333333,0.927944232
224,30,21.428571428571427,56.25,65,141.78652513888147,100,ช,สุขศึกษาและพลศึกษา,75.71428571428572,0.9999999999999998
225,40,21.428571428571427,6.25,60,148.01269541667568,88.88888888888889,ญ,สุขศึกษาและพลศึกษา,80,0.6704364832950827
226,20,35.714285714285715,12.5,56,182.65234624998436,88.88888888888889,ญ,สุขศึกษาและพลศึกษา,81.25,0.9370810422400055
227,50,35.714285714285715,46.666666666666664,63,157.47618986109893,77.77777777777777,ช,สุขศึกษาและพลศึกษา,68.33333333333333,0.9999999999999998
228,20,14.285714285714285,31.25,64,119.59332215277685,100,ญ,สุขศึกษาและพลศึกษา,73.33333333333333,0.7666981561591396
229,60,50,31.25,76,152.9749479861061,100,ช,สุขศึกษาและพลศึกษา,85,0.6802387167514636
230,30,28.57142857142857,18.75,56,179.9254288888971,88.88888888888889,ช,สุขศึกษาและพลศึกษา,49.04761904761905,0.6786661098079902
231,40,28.57142857142857,31.25,68,172.81976583335134,88.88888888888889,ช,สุขศึกษาและพลศึกษา,76.66666666666667,1
232,20,28.57142857142857,31.25,48,145.4455883333087,88.88888888888889,ช,สุขศึกษาและพลศึกษา,67.5,0.9999999999999998
233,40,35.714285714285715,18.75,70,111.21533500000835,88.88888888888889,ญ,สุขศึกษาและพลศึกษา,71.25,0.9999999999999998
234,40,42.857142857142854,43.75,79,180.32505194442138,100,ญ,สุขศึกษาและพลศึกษา,62.083333333333336,0.6790434566906697
235,40,7.142857142857142,6.25,54,151.8527097222209,62.5,ญ,ศิลปศึกษา,75,0.9506682913972309
236,40,7.142857142857142,6.25,54,151.8527097222209,62.5,ญ,ศิลปศึกษา,75,0.8155927664160083
237,40,7.142857142857142,6.25,54,151.8527097222209,62.5,ญ,ศิลปศึกษา,72.5,0.9506682913972309
238,40,7.142857142857142,6.25,54,151.8527097222209,62.5,ญ,ศิลปศึกษา,72.5,0.8155927664160083
239,20,42.857142857142854,62.5,75,155.71588305554457,100,ญ,ศิลปศึกษา,80,0.9855051678452438
240,20,42.857142857142854,62.5,75,155.71588305554457,100,ญ,ศิลปศึกษา,80,0.7900547254943978
241,20,42.857142857142854,62.5,75,155.71588305554457,100,ญ,ศิลปศึกษา,80,0.9855051678452438
242,20,42.857142857142854,62.5,75,155.71588305554457,100,ญ,ศิลปศึกษา,80,0.7900547254943978
243,20,42.857142857142854,43.75,75,155.01367472223112,100,ญ,ศิลปศึกษา,82.5,0.7120477753034806
244,20,42.857142857142854,43.75,75,155.01367472223112,100,ญ,ศิลปศึกษา,82.5,0.7264733432405557
245,20,42.857142857142854,43.75,75,155.01367472223112,100,ญ,ศิลปศึกษา,69.58333333333333,0.7120477753034806
246,20,42.857142857142854,43.75,75,155.01367472223112,100,ญ,ศิลปศึกษา,69.58333333333333,0.7264733432405557
247,60,28.57142857142857,12.5,69,160.17742590280045,75,ช,ศิลปศึกษา,73.33333333333333,0.878361956
248,60,28.57142857142857,12.5,69,160.17742590280045,75,ช,ศิลปศึกษา,73.33333333333333,0.7411899562881676
249,60,28.57142857142857,12.5,69,160.17742590280045,75,ช,ศิลปศึกษา,48.888888888888886,0.878361956
250,60,28.57142857142857,12.5,69,160.17742590280045,75,ช,ศิลปศึกษา,48.888888888888886,0.7411899562881676
251,60,42.857142857142854,43.75,59,144.8180721296315,87.5,ญ,ศิลปศึกษา,66.25,0.8132873375699292
252,60,42.857142857142854,43.75,59,144.8180721296315,87.5,ญ,ศิลปศึกษา,66.25,0.607154953
253,60,42.857142857142854,43.75,59,144.8180721296315,87.5,ญ,ศิลปศึกษา,54.166666666666664,0.8132873375699292
254,60,42.857142857142854,43.75,59,144.8180721296315,87.5,ญ,ศิลปศึกษา,54.166666666666664,0.607154953
255,30,21.428571428571427,37.5,63,150.40378291666508,75,ญ,ศิลปศึกษา,77.5,0.6772248323061721
256,30,21.428571428571427,37.5,63,150.40378291666508,75,ญ,ศิลปศึกษา,77.5,NA
257,30,21.428571428571427,37.5,63,150.40378291666508,75,ญ,ศิลปศึกษา,20,0.6772248323061721
258,30,21.428571428571427,37.5,63,150.40378291666508,75,ญ,ศิลปศึกษา,20,NA
259,10,21.428571428571427,25,46,155.1946744444304,77.77777777777777,ญ,ดนตรีศึกษา,58.095238095238095,0.7350190541115591
260,30,35.714285714285715,50,73,158.4157954166664,88.88888888888889,ช,ดนตรีศึกษา,67.5,0.9999999999999999
261,40,21.428571428571427,37.5,75,142.64741097220116,100,ช,ดนตรีศึกษา,82.5,0.44705259600886527
262,40,35.714285714285715,18.75,58,157.6749527777897,88.88888888888889,ช,ดนตรีศึกษา,47.38095238095238,0.3899546956652264
263,70,35.714285714285715,31.25,66,152.9243542361094,100,ช,ดนตรีศึกษา,87.5,0.6439731376492127
264,50,71.42857142857143,25,64,157.1052565277616,77.77777777777777,ช,ดนตรีศึกษา,43.39285714285714,0.4502605130071813
265,40,28.57142857142857,6.25,55,178.12515847222673,88.88888888888889,ญ,ดนตรีศึกษา,76.66666666666667,0.9077836673990745
266,20,35.714285714285715,6.25,57,154.09420291665526,100,ช,ดนตรีศึกษา,48.69047619047619,0.6810890269852967
267,40,21.428571428571427,43.75,71,142.9703274305496,100,ช,ดนตรีศึกษา,77.5,0.8974614439609063
268,10,14.285714285714285,37.5,53,158.43328402777513,88.88888888888889,ช,ดนตรีศึกษา,80.83333333333333,1
269,40,14.285714285714285,56.25,70,138.86299006943904,100,ช,ดนตรีศึกษา,90,0.9999999999999998
270,40,21.428571428571427,12.5,63,158.0499151388804,88.88888888888889,ช,ดนตรีศึกษา,90,0.8380794171498467
271,50,28.57142857142857,18.75,60,133.94634631945027,100,ญ,ดนตรีศึกษา,87.5,0.8470888005465358
272,40,21.428571428571427,31.25,66,137.70230249999298,100,ช,ดนตรีศึกษา,92.5,0.9844434180822734
273,40,21.428571428571427,31.25,66,159.09093986110554,77.77777777777777,ญ,ดนตรีศึกษา,50.89285714285714,0.3686932688927624
274,20,14.285714285714285,43.75,67,158.17765902777512,88.88888888888889,ญ,ดนตรีศึกษา,90,0.8731287601418032
275,30,21.428571428571427,18.75,68,158.83013041668468,77.77777777777777,ญ,ดนตรีศึกษา,40.95238095238095,0.6125054165359664
276,10,7.142857142857142,37.5,59,158.17043833331928,88.88888888888889,ช,ดนตรีศึกษา,90,0.7408021971182843
277,20,7.142857142857142,31.25,51,139.74271340279117,100,ช,ดนตรีศึกษา,90,0.8256839742248565
278,40,35.714285714285715,37.5,75,123.99262666665845,77.77777777777777,ช,ดนตรีศึกษา,81.96428571428572,0.5269469750638895
279,30,14.285714285714285,18.75,61,153.71424958331716,88.88888888888889,ช,ดนตรีศึกษา,90,0.7758418582626045
280,50,50,68.75,73,158.03787625001536,100,ช,เทคโนโลยีการศึกษา,67.5,0.9943450859385783
281,40,35.714285714285715,31.25,76,168.6225376389093,88.88888888888889,ช,เทคโนโลยีการศึกษา,82.5,0.6696329629355161
282,50,57.14285714285714,43.75,66,164.43544847223492,100,ช,เทคโนโลยีการศึกษา,82.5,0.9999999999999998
283,40,71.42857142857143,50,84,158.71478944443993,100,ช,เทคโนโลยีการศึกษา,63.333333333333336,0.9768126644655527
284,0,28.57142857142857,50,69,166.51385999997456,88.88888888888889,ช,เทคโนโลยีการศึกษา,78.57142857142857,0.9874883168743285
285,20,7.142857142857142,37.5,62,164.70123875002065,100,ญ,เทคโนโลยีการศึกษา,95,0.8899217077058316
