ego_id,ego_name,alter_name1,alter_name2,alter_name3
225,d4d0f2a6,22aca1b2,aa158f1c,8c736d5a
226,809fd363,a46f29bd,NA,NA
227,a1f5d123,c0bc6e8c,d7a76f3f,5f1bfa2d
228,6bc107c0,af603468,NA,NA
229,07f78a5b,NA,NA,NA
230,7f44ac7b,118448f2,159da4dc,92666685
231,f165aece,31c2ef74,30aba6c1,0d01d05c
232,8250a77a,7f44ac7b,c13fa017,a57d5325
233,b72e1273,NA,NA,NA
234,00d90798,773e8e38,262517a2,8729bf10
235,21f212e5,8adc8b46,65bf3cbd,5c669bf8
236,ec60c876,7f44ac7b,84beb2fe,d9b2a669
237,e509ad43,7f44ac7b,ad5aa1d1,3c266643
238,c37b4df1,a57d5325,NA,NA
239,84beb2fe,b9e31229,75e17214,a7292bc2
240,a57d5325,ad5aa1d1,18b3aee1,c13fa017
241,33052699,NA,NA,NA
242,bf5544a5,93cd465f,0146eadb,ed5000bc
243,e01b743f,8fdd0002,32090dbc,47a32364
244,584521e2,94fdfaf0,25ea5a5f,3a847d87
245,4ed323fe,94fdfaf0,25ea5a5f,3a847d87
246,13c36261,17d6c67a,ad5a6ee9,3e22f98c
247,bb513b38,NA,NA,NA
248,fca9626e,NA,NA,NA
249,6a85efe3,NA,NA,NA
250,28e8fd7e,NA,NA,NA
251,1aff8103,6bc107c0,afbb0555,8389df78
252,8614a7f0,2fc26d0d,NA,NA
253,b8536c5d,NA,NA,NA
254,a06f0b6b,06493bc9,9d1923f9,e8ad8b00
255,5c3f94b4,NA,NA,NA
256,a3cbfea8,79b940c9,e8ebf084,faf51b8e
257,86dfbd17,69083b0a,db37f635,de20977f
258,8e38fcc6,241b53bf,7f214fba,86bde3da
259,0b84a561,8e38fcc6,84b44902,NA
260,962e0085,e410e6ad,34a426de,NA
261,962e0085,4374937d,34a426de,NA
262,e83e6f4a,973a7038,e10a4d54,e5fe3348
