"student_id","choose_method","concepts","interpretation","submit_time","percent_submit","learning_performance","cheat_index","outcome","res_item_difficulty","res_item_score"
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"มโนทัศน์พื้นฐานการวิจัย","Hard",33.333333333333336
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"มโนทัศน์พื้นฐานการวิจัย","Moderate",75
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"เครื่องมือและการเก็บข้อมูล","Hard",33.333333333333336
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1,"เครื่องมือและการเก็บข้อมูล","Moderate",66.66666666666666
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"การออกแบบการวิจัย","Easy",100
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"การออกแบบการวิจัย","Hard",0
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"การออกแบบการวิจัย","Moderate",16.666666666666664
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"มโนทัศน์พื้นฐานการวิจัย","Easy",100
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"มโนทัศน์พื้นฐานการวิจัย","Hard",66.66666666666666
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"มโนทัศน์พื้นฐานการวิจัย","Moderate",75
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"เครื่องมือและการเก็บข้อมูล","Easy",75
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"เครื่องมือและการเก็บข้อมูล","Hard",0
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471,"เครื่องมือและการเก็บข้อมูล","Moderate",50
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"การออกแบบการวิจัย","Easy",100
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"การออกแบบการวิจัย","Hard",50
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"การออกแบบการวิจัย","Moderate",16.666666666666668
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"มโนทัศน์พื้นฐานการวิจัย","Easy",50
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"มโนทัศน์พื้นฐานการวิจัย","Hard",33.333333333333336
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"มโนทัศน์พื้นฐานการวิจัย","Moderate",50
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"เครื่องมือและการเก็บข้อมูล","Hard",33.333333333333336
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126,"เครื่องมือและการเก็บข้อมูล","Moderate",83.33333333333334
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"การออกแบบการวิจัย","Easy",33.333333333333336
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"การออกแบบการวิจัย","Hard",0
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"การออกแบบการวิจัย","Moderate",16.666666666666668
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"มโนทัศน์พื้นฐานการวิจัย","Easy",75
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"มโนทัศน์พื้นฐานการวิจัย","Hard",33.333333333333336
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"มโนทัศน์พื้นฐานการวิจัย","Moderate",50
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"เครื่องมือและการเก็บข้อมูล","Hard",33.333333333333336
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218,"เครื่องมือและการเก็บข้อมูล","Moderate",50
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"การออกแบบการวิจัย","Easy",100
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"การออกแบบการวิจัย","Hard",0
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"การออกแบบการวิจัย","Moderate",83.33333333333334
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"มโนทัศน์พื้นฐานการวิจัย","Easy",75
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"มโนทัศน์พื้นฐานการวิจัย","Hard",33.333333333333336
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"มโนทัศน์พื้นฐานการวิจัย","Moderate",50
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"เครื่องมือและการเก็บข้อมูล","Hard",0
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1,"เครื่องมือและการเก็บข้อมูล","Moderate",33.333333333333336
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"การออกแบบการวิจัย","Easy",100
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"การออกแบบการวิจัย","Hard",0
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"การออกแบบการวิจัย","Moderate",50
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"มโนทัศน์พื้นฐานการวิจัย","Easy",50
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"มโนทัศน์พื้นฐานการวิจัย","Hard",0
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"มโนทัศน์พื้นฐานการวิจัย","Moderate",50
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"เครื่องมือและการเก็บข้อมูล","Easy",100
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"เครื่องมือและการเก็บข้อมูล","Hard",0
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215,"เครื่องมือและการเก็บข้อมูล","Moderate",66.66666666666666
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078,"การออกแบบการวิจัย","Easy",100
