student_level,year,province,precipiration_anomaly_mean,precipiration_anomaly_sd,precipiration_anomaly_median,precipiration_anomaly_min,precipiration_anomaly_Q25,precipiration_anomaly_Q75,precipiration_anomaly_max,cmer_risk_mean,cmer_risk_sd,cmer_risk_median,cmer_risk_min,cmer_risk_Q25,cmer_risk_Q75,cmer_risk_max,high_risk_school_mean,high_risk_school_sd
m3,2020,ประจวบคีรีขันธ์,-0.11046748279660719,0.5198501764570395,0.12160523998716344,-1.2477755059552431,-0.507569697337726,0.2167745582379872,0.5710159095049417,0.4041838889841093,0.2382054214037661,0.41866387357028745,0.0273568634195633,0.20705285665327433,0.577432635781591,0.8274826519071663,0.04918032786885243,0.21803894974650145
m3,2020,ปราจีนบุรี,0.08309083676784075,0.21592626575317853,0.01586155304180392,-0.8512366799101445,0.01057436869453598,0.16390271476530738,0.4124003790869024,0.5503833038341349,0.1728406474509377,0.5739164549108868,0.0182265345652274,0.4345449109100033,0.6808792011514389,0.8250431494988228,0.05172413793103449,0.22340379562211246
m3,2020,ปัตตานี,1.1994355347802215,0.3093348831352806,1.4619064720195962,0.5419363955949679,0.8062956129583667,1.4619064720195962,1.4619064720195962,0.8803372277088614,0.07997267546321261,0.89957166327184,0.6382375027807017,0.8582209094447344,0.9354201237714471,0.9720904154395104,0.8571428571428571,0.3541688016605729
m3,2020,พระนครศรีอยุธยา,0.38523012619121966,0.10987434656982681,0.3225182451833467,0.22999251910615717,0.29343873127337283,0.504926105164092,0.6133133842830856,0.6292181253960083,0.19666163780539941,0.6779185893727653,0.02807586706180893,0.553586745040988,0.7597208674343803,0.8795324141965299,0.15277777777777785,0.3622979173382979
m3,2020,พะเยา,-0.4333376291020836,0.9372308429820554,0.08459494955628766,-2.157171213685335,-1.637044453522848,0.1982694130225492,0.45734144603868015,0.30269400919176126,0.19943939546884576,0.2957943212545767,0.02019299390467522,0.13323527889073056,0.43773288277528727,0.8860338758639521,0.019999999999999993,0.14142135623730942
m3,2020,พังงา,-0.06571214831604498,0.7809768051036753,0.26964640171066695,-1.062724053800864,-1.0230701711963541,0.5485453760290527,1.509491131145008,0.4190682110031265,0.2241346334323219,0.45385358527243325,0.02393527173043412,0.23399036175567559,0.555277426042095,0.815927845273305,0.035714285714285726,0.18898223650461368
m3,2020,พัทลุง,0.0609914480059842,0.30740735621163945,0.06873339651448374,-0.486420959948654,0,0.18703414628460474,0.4546978538650462,0.5125542208984565,0.1914327311506508,0.5144347758780143,0.04887111592926022,0.384302296308339,0.6535856178768579,0.8779383350420057,0.05357142857142856,0.22720778292870286
m3,2020,พิจิตร,0.22464163374265697,1.0517398125121395,0.6767595964503014,-1.7024733598202892,-0.8618110486046806,0.9847380846786611,1.1050215285790077,0.6289100682318163,0.27239428665387966,0.7537479762244221,0.0499588706180418,0.3794391073677068,0.8559352648847138,0.9290164192520488,0.4096385542168675,0.4947565200229314
m3,2020,พิษณุโลก,0.20306226712596684,1.0920201999774246,0.7084827025339091,-1.5914424885276617,-1.1869728859616613,0.8618110486046805,1.6575322928685114,0.5561231680565427,0.2966902240308302,0.654616312381188,0.02398881683879314,0.20745702248488368,0.8155585176557657,0.94394836471229715,0.2845528455284553,0.4530466122157823
m3,2020,ภูเก็ต,0.652086069496384,1.2551124933140005,1.509491131145008,-1.062724053800864,-1.062724053800864,1.509491131145008,1.509491131145008,0.5602276772602622,0.3355976319401282,0.6094143943875755,0.01130093879448271,0.2796524939233206,0.8816015928963234,0.9360533589454686,0.4666666666666666,0.5163977794943222
